Date,PX_LAST
2004/7/8,1440.75
2004/7/9,1441.35
2004/7/12,1443.6
2004/7/13,1441.65
2004/7/14,1441.85
2004/7/15,1442.45
2004/7/16,1451.89
2004/7/19,1452.38
2004/7/20,1445.61
2004/7/21,1443.02
2004/7/22,1444.67
2004/7/23,1446.69
2004/7/26,1444.31
2004/7/27,1435.8
2004/7/28,1436.74
2004/7/29,1438.42
2004/7/30,1446.8
2004/8/2,1448.38
2004/8/3,1450.75
2004/8/4,1450.74
2004/8/5,1452.8
2004/8/6,1466.62
2004/8/9,1465.21
2004/8/10,1461.86
2004/8/11,1462.56
2004/8/12,1464.68
2004/8/13,1468.51
2004/8/16,1465.83
2004/8/17,1469.92
2004/8/18,1468.99
2004/8/19,1470.65
2004/8/20,1469.36
2004/8/23,1466.35
2004/8/24,1467
2004/8/25,1468.59
2004/8/26,1471.63
2004/8/27,1472.14
